dataset,candidate_pool_condition,variant_name,metric,observed,ci_lower_95,ci_upper_95,n_boot,seed,bootstrap_unit
OXF,all_medon_candidates,single_stn_aperiodic_slope,top1,0.06666666666666667,0.0,0.16129032258064516,5000,42,subject
OXF,all_medon_candidates,single_stn_aperiodic_slope,mrr,0.2061162156133552,0.117233083682879,0.30988398230061953,5000,42,subject
OXF,all_medon_candidates,single_stn_beta_band_power,top1,0.13333333333333333,0.03333333333333333,0.25,5000,42,subject
OXF,all_medon_candidates,single_stn_beta_band_power,mrr,0.2991365486365486,0.18948513770180436,0.41427035330261125,5000,42,subject
OXF,all_medon_candidates,two_feature_beta_plus_slope,top1,0.06666666666666667,0.0,0.16129032258064516,5000,42,subject
OXF,all_medon_candidates,two_feature_beta_plus_slope,mrr,0.22713081308669544,0.13277816750905702,0.33689317060418733,5000,42,subject
OXF,original_frozen_matched_pool,single_stn_aperiodic_slope,top1,0.2,0.06666666666666667,0.35714285714285715,5000,42,subject
OXF,original_frozen_matched_pool,single_stn_aperiodic_slope,mrr,0.36027935027935026,0.22437948769980023,0.5011081945608155,5000,42,subject
OXF,original_frozen_matched_pool,single_stn_beta_band_power,top1,0.16666666666666666,0.0625,0.28125,5000,42,subject
OXF,original_frozen_matched_pool,single_stn_beta_band_power,mrr,0.3983689458689458,0.28706574854742956,0.5154938163688163,5000,42,subject
OXF,original_frozen_matched_pool,two_feature_beta_plus_slope,top1,0.2,0.06451612903225806,0.35489631336405447,5000,42,subject
OXF,original_frozen_matched_pool,two_feature_beta_plus_slope,mrr,0.37688071188071187,0.24830712074663683,0.5164761029972376,5000,42,subject
ds004998,all_medon_candidates,single_stn_aperiodic_slope,top1,0.058823529411764705,0.0,0.14705882352941177,5000,42,subject
ds004998,all_medon_candidates,single_stn_aperiodic_slope,mrr,0.18809089487553363,0.11637558116723992,0.27385254592949,5000,42,subject
ds004998,all_medon_candidates,single_stn_beta_band_power,top1,0.11764705882352941,0.02857142857142857,0.22857142857142856,5000,42,subject
ds004998,all_medon_candidates,single_stn_beta_band_power,mrr,0.23300209082216003,0.1472994826640835,0.32570000570546775,5000,42,subject
ds004998,all_medon_candidates,two_feature_beta_plus_slope,top1,0.17647058823529413,0.06060606060606061,0.29411764705882354,5000,42,subject
ds004998,all_medon_candidates,two_feature_beta_plus_slope,mrr,0.294484164437087,0.18964172782172842,0.4010682127978143,5000,42,subject
ds004998,original_frozen_matched_pool,single_stn_aperiodic_slope,top1,0.3235294117647059,0.14275793650793653,0.5454545454545454,5000,42,subject
ds004998,original_frozen_matched_pool,single_stn_aperiodic_slope,mrr,0.5187791783380018,0.37649319727891156,0.6790794123204836,5000,42,subject
ds004998,original_frozen_matched_pool,single_stn_beta_band_power,top1,0.38235294117647056,0.20588235294117646,0.5589154411764693,5000,42,subject
ds004998,original_frozen_matched_pool,single_stn_beta_band_power,mrr,0.5947595704948645,0.4604690570672713,0.7256841931216931,5000,42,subject
ds004998,original_frozen_matched_pool,two_feature_beta_plus_slope,top1,0.4117647058823529,0.2222222222222222,0.6060606060606061,5000,42,subject
ds004998,original_frozen_matched_pool,two_feature_beta_plus_slope,mrr,0.6176820728291317,0.4790728715728715,0.7535481601731598,5000,42,subject
