label,experiment,dataset,metric,observed,ci_lower_95,ci_upper_95,n_subjects,n_queries,n_bootstrap,seed,bootstrap_unit,source_file
OXF_locked_STN_only_v2D,oxf_ladder,OXF,top1,0.36666666666666664,0.176369168356998,0.5666666666666667,17,30,5000,42,subject,outputs/oxf_external_stn_retrieval_validation/oxf_query_diagnostics.csv
OXF_locked_STN_only_v2D,oxf_ladder,OXF,mrr,0.5252096052096052,0.3705801300726217,0.6809807561017238,17,30,5000,42,subject,outputs/oxf_external_stn_retrieval_validation/oxf_query_diagnostics.csv
OXF_locked_STN_only_v2D,oxf_ladder,OXF,top3,0.6333333333333333,0.45161290322580644,0.8,17,30,5000,42,subject,outputs/oxf_external_stn_retrieval_validation/oxf_query_diagnostics.csv
OXF_locked_STN_only_v2D,oxf_ladder,OXF,top5,0.7333333333333333,0.5714285714285714,0.8888888888888888,17,30,5000,42,subject,outputs/oxf_external_stn_retrieval_validation/oxf_query_diagnostics.csv
OXF_exact_raw_else_median_v2D,oxf_ladder,OXF,top1,0.5,0.3,0.6896551724137931,17,30,5000,42,subject,outputs/oxf_raw_montage_reconstruction_audit/raw_reconstruction_query_diagnostics.csv
OXF_exact_raw_else_median_v2D,oxf_ladder,OXF,mrr,0.6088984456089718,0.4449481730148114,0.7658052484882841,17,30,5000,42,subject,outputs/oxf_raw_montage_reconstruction_audit/raw_reconstruction_query_diagnostics.csv
OXF_exact_raw_else_median_v2D,oxf_ladder,OXF,top3,0.6666666666666666,0.4666666666666667,0.8571428571428571,17,30,5000,42,subject,outputs/oxf_raw_montage_reconstruction_audit/raw_reconstruction_query_diagnostics.csv
OXF_exact_raw_else_median_v2D,oxf_ladder,OXF,top5,0.8,0.6333333333333333,0.9375,17,30,5000,42,subject,outputs/oxf_raw_montage_reconstruction_audit/raw_reconstruction_query_diagnostics.csv
OXF_current_MAGE_v2D,oxf_ladder,OXF,top1,0.5333333333333333,0.3333333333333333,0.7272727272727273,17,30,5000,42,subject,outputs/oxf_montage_aware_gated_evidence_method/mage_query_diagnostics.csv
OXF_current_MAGE_v2D,oxf_ladder,OXF,mrr,0.667051467051467,0.5166216730800064,0.8104838709677419,17,30,5000,42,subject,outputs/oxf_montage_aware_gated_evidence_method/mage_query_diagnostics.csv
OXF_current_MAGE_v2D,oxf_ladder,OXF,top3,0.7666666666666667,0.6,0.9091577540106942,17,30,5000,42,subject,outputs/oxf_montage_aware_gated_evidence_method/mage_query_diagnostics.csv
OXF_current_MAGE_v2D,oxf_ladder,OXF,top5,0.8,0.6363636363636364,0.9354838709677419,17,30,5000,42,subject,outputs/oxf_montage_aware_gated_evidence_method/mage_query_diagnostics.csv
OXF_MAGE_G_source_span_soft_v2D,oxf_ladder,OXF,top1,0.6,0.4,0.7857142857142857,17,30,5000,42,subject,outputs/oxf_mage_g_geometry_aware_evidence/mage_g_query_diagnostics.csv
OXF_MAGE_G_source_span_soft_v2D,oxf_ladder,OXF,mrr,0.720079365079365,0.5698341836734693,0.8551516897081411,17,30,5000,42,subject,outputs/oxf_mage_g_geometry_aware_evidence/mage_g_query_diagnostics.csv
OXF_MAGE_G_source_span_soft_v2D,oxf_ladder,OXF,top3,0.8,0.6333333333333333,0.9333333333333333,17,30,5000,42,subject,outputs/oxf_mage_g_geometry_aware_evidence/mage_g_query_diagnostics.csv
OXF_MAGE_G_source_span_soft_v2D,oxf_ladder,OXF,top5,0.9,0.7419354838709677,1.0,17,30,5000,42,subject,outputs/oxf_mage_g_geometry_aware_evidence/mage_g_query_diagnostics.csv
reverse_reference_ds_native_STN_v2D,reverse_transfer,ds004998,top1,0.7058823529411765,0.5142857142857142,0.8823529411764706,18,34,5000,42,subject,outputs/ds004998_stn_only_cross_dataset_branch/ds004998_stn_only_query_diagnostics.csv
reverse_reference_ds_native_STN_v2D,reverse_transfer,ds004998,mrr,0.780392156862745,0.6266597222222222,0.9118055555555556,18,34,5000,42,subject,outputs/ds004998_stn_only_cross_dataset_branch/ds004998_stn_only_query_diagnostics.csv
reverse_reference_ds_native_STN_v2D,reverse_transfer,ds004998,top3,0.7647058823529411,0.5882352941176471,0.9117647058823529,18,34,5000,42,subject,outputs/ds004998_stn_only_cross_dataset_branch/ds004998_stn_only_query_diagnostics.csv
