feature_group,metric,observed,bootstrap_mean,ci_lower_95,ci_upper_95,n_bootstrap,seed,bootstrap_unit
STN_features,top1,0.696969696969697,0.695642768926258,0.5,0.875,5000,42,subject
STN_features,mrr,0.7856421356421357,0.7845538190885685,0.637813110092522,0.9151041666666666,5000,42,subject
compact_aperiodic_residual,top1,0.696969696969697,0.6977847057980842,0.5,0.8787878787878788,5000,42,subject
compact_aperiodic_residual,mrr,0.8141414141414142,0.8143140731282265,0.6892156862745098,0.9247311827956989,5000,42,subject
coupling,top1,0.6060606060606061,0.60568561405622,0.42424242424242425,0.7878787878787878,5000,42,subject
coupling,mrr,0.7533670033670034,0.7532273240530482,0.6336677900326798,0.8661655618686869,5000,42,subject
raw_beta_gamma_power,top1,0.5151515151515151,0.5139182753886771,0.3029545454545455,0.7272727272727273,5000,42,subject
raw_beta_gamma_power,mrr,0.6677970177970177,0.6669140947532943,0.5024517463235294,0.8208335985909514,5000,42,subject
MEG_motor_power_features,top1,0.48484848484848486,0.4835593792097181,0.28125,0.696969696969697,5000,42,subject
MEG_motor_power_features,mrr,0.6698172198172199,0.6690377839346618,0.5241682582123759,0.8103913080383669,5000,42,subject
all_v2_features,top1,0.7272727272727273,0.7270998900987233,0.5294117647058824,0.90625,5000,42,subject
all_v2_features,mrr,0.8255050505050505,0.8251476698264956,0.6830882352941177,0.943627450980392,5000,42,subject
v2A_compact_rerank_features,top1,0.696969696969697,0.6977847057980842,0.5,0.8787878787878788,5000,42,subject
v2A_compact_rerank_features,mrr,0.8141414141414142,0.8143140731282265,0.6892156862745098,0.9247311827956989,5000,42,subject
