feature_group,distance_metric,n_queries,wrong_closer_than_true_rate,mean_margin,median_margin,mean_true_distance,mean_best_wrong_distance,mean_wrong_distance,mean_true_rank_within_group,sign_flip_p_mean_margin,wilcoxon_p_mean_margin_greater_than_zero
MEG_motor_power_features,cosine,33,0.3939393939393939,-0.16092778738485947,0.005940359256567551,0.27651639362508396,0.11558860624022445,0.38713900125871376,2.1818181818181817,0.9606078784243152,0.4929684344679117
MEG_motor_power_features,zscored_euclidean,33,0.3939393939393939,-0.15214751879034266,0.05132909052043766,6.199419952045172,6.047272433254828,6.395939315337158,2.0606060606060606,0.8410317936412718,0.3489926670445129
STN_features,cosine,33,0.3333333333333333,0.048537804650331466,0.08905303344926851,0.39558127853873276,0.44411908318906423,1.0154284441971622,1.8181818181818181,0.2571485702859428,0.07476936699822545
STN_features,zscored_euclidean,33,0.48484848484848486,-0.8797690243115818,0.32414325297783986,4.643514895635049,3.7637458713234673,6.456166029906695,2.4242424242424243,0.904619076184763,0.7655834717443213
all_v2_features,cosine,33,0.3333333333333333,0.10184091043344143,0.11493520225720599,0.40418146244653336,0.5060223728799749,1.008933509666291,1.8484848484848484,0.07558488302339532,0.0722406196873635
all_v2_features,zscored_euclidean,33,0.3939393939393939,0.059935473322656745,0.8139599947936378,11.656972745529698,11.716908218852353,15.266546145142708,2.303030303030303,0.46070785842831435,0.22900325432419777
compact_aperiodic_residual,cosine,33,0.30303030303030304,0.08465569741164701,0.17034816513433737,0.3554642134884646,0.4401199109001115,0.9926977955324766,1.606060606060606,0.10557888422315537,0.05838817963376641
compact_aperiodic_residual,zscored_euclidean,33,0.42424242424242425,0.07960990631147355,0.45137664584372605,2.9940759142497897,3.0736858205612636,4.89143888547902,1.9696969696969697,0.4107178564287143,0.22365894180256873
coupling,cosine,33,0.42424242424242425,0.05864234033035598,0.04117581048404495,0.3537963106955468,0.41243865102590277,0.9582112231266898,2.0303030303030303,0.25674865026994603,0.152168745175004
coupling,zscored_euclidean,33,0.42424242424242425,-0.4113160123795661,0.6750294522289984,4.91138291135015,4.5000668989705845,7.781050057622057,2.272727272727273,0.7504499100179964,0.3821766653563827
raw_beta_gamma_power,cosine,33,0.5151515151515151,-0.23928976933202792,-0.006546790566448024,0.48377914226151386,0.24448937292948586,0.9363096996560856,2.606060606060606,0.9748050389922016,0.9115958786569536
raw_beta_gamma_power,zscored_euclidean,33,0.6060606060606061,-0.8561574313367358,-0.7505179848168082,8.077787930050295,7.221630498713559,9.560651072072332,2.9696969696969697,0.9748050389922016,0.9823285638121888
v2A_compact_rerank_features,cosine,33,0.30303030303030304,0.08465569741164701,0.17034816513433737,0.3554642134884646,0.4401199109001115,0.9926977955324766,1.606060606060606,0.10557888422315537,0.05838817963376641
v2A_compact_rerank_features,zscored_euclidean,33,0.42424242424242425,0.07960990631147355,0.45137664584372605,2.9940759142497897,3.0736858205612636,4.89143888547902,1.9696969696969697,0.4107178564287143,0.22365894180256873
