metric,observed,bootstrap_mean,ci_lower_95,ci_upper_95,n_bootstrap,seed,bootstrap_unit
v2_reference_top1,0.7272727272727273,0.7270998900987233,0.5294117647058824,0.90625,5000,42,subject
v2_reference_mrr,0.8255050505050505,0.8251476698264956,0.6830882352941177,0.943627450980392,5000,42,subject
v2_reference_percentile_rank,0.8726660544842364,0.8721187263694348,0.7222110814022579,0.9842543077837195,5000,42,subject
v2A_top5_aperiodic_rerank_top1,0.8484848484848485,0.8474467896494223,0.6666666666666666,1.0,5000,42,subject
v2A_top5_aperiodic_rerank_mrr,0.8926767676767676,0.8919598148199097,0.7585655834914611,1.0,5000,42,subject
v2A_top5_aperiodic_rerank_percentile_rank,0.8973063973063973,0.8967805995664072,0.7483660130718954,1.0,5000,42,subject
v2B_gated_aperiodic_top5_top1,0.8484848484848485,0.8474467896494223,0.6666666666666666,1.0,5000,42,subject
v2B_gated_aperiodic_top5_mrr,0.8926767676767676,0.8919598148199097,0.7585655834914611,1.0,5000,42,subject
v2B_gated_aperiodic_top5_percentile_rank,0.8973063973063973,0.8967805995664072,0.7483660130718954,1.0,5000,42,subject
delta_top1_v2A_top5_aperiodic_rerank_minus_v2_reference,0.12121212121212122,0.12034689955069902,0.030280748663101587,0.23529411764705876,5000,42,subject
delta_mrr_v2A_top5_aperiodic_rerank_minus_v2_reference,0.0671717171717171,0.06681214499341383,0.01666666666666672,0.12745098039215685,5000,42,subject
delta_percentile_rank_v2A_top5_aperiodic_rerank_minus_v2_reference,0.024640342822160877,0.02466187319697241,0.007575757575757569,0.046791443850267345,5000,42,subject
delta_top1_v2B_gated_aperiodic_top5_minus_v2A_top5_aperiodic_rerank,0.0,0.0,0.0,0.0,5000,42,subject
delta_mrr_v2B_gated_aperiodic_top5_minus_v2A_top5_aperiodic_rerank,0.0,0.0,0.0,0.0,5000,42,subject
delta_percentile_rank_v2B_gated_aperiodic_top5_minus_v2A_top5_aperiodic_rerank,0.0,0.0,0.0,0.0,5000,42,subject
delta_top1_v2B_gated_aperiodic_top5_minus_v2_reference,0.12121212121212122,0.12034689955069902,0.030280748663101587,0.23529411764705876,5000,42,subject
delta_mrr_v2B_gated_aperiodic_top5_minus_v2_reference,0.0671717171717171,0.06681214499341383,0.01666666666666672,0.12745098039215685,5000,42,subject
delta_percentile_rank_v2B_gated_aperiodic_top5_minus_v2_reference,0.024640342822160877,0.02466187319697241,0.007575757575757569,0.046791443850267345,5000,42,subject
