variant_name,score_name,heldout_subject,feature,feature_group,weight,n_subject_components_removed
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,meg_alpha_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,meg_low_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,meg_high_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,meg_broad_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,meg_gamma_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_alpha_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_low_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_high_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_broad_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_gamma_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_alpha_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_low_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_high_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_broad_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_gamma_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_left_alpha_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_left_low_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_left_high_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_left_broad_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_left_gamma_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_right_alpha_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_right_low_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_right_high_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_right_broad_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,stn_right_gamma_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_low_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_high_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_broad_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,alpha_coupling_index,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,beta_coupling_asymmetry,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,beta_coupling_index,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,cortico_stn_coupling_index,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,gamma_coupling_asymmetry,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,gamma_coupling_index,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_alpha_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_alpha_coupling_asymmetry,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_broad_beta_coupling_asymmetry,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_gamma_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_gamma_coupling_asymmetry,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_high_beta_coupling_asymmetry,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_left_alpha_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_left_broad_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_left_gamma_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_left_high_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_left_low_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_low_beta_coupling_asymmetry,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_opposite_task_side_alpha_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_opposite_task_side_broad_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_opposite_task_side_gamma_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_opposite_task_side_high_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_opposite_task_side_low_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_right_alpha_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_right_broad_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_right_gamma_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_right_high_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_right_low_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_task_side_alpha_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_task_side_broad_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_task_side_gamma_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_task_side_high_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-0cGdk9,motor_stn_task_side_low_beta_coupling,coupling,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,meg_alpha_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,meg_low_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,meg_high_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,meg_broad_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,meg_gamma_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,motor_alpha_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,motor_low_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,motor_high_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,motor_broad_beta_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,motor_gamma_power,MEG_motor_power_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,stn_alpha_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,stn_low_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,stn_high_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,stn_broad_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,stn_gamma_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,stn_left_alpha_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,stn_left_low_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,stn_left_high_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,stn_left_broad_beta_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,stn_left_gamma_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,stn_right_alpha_power,STN_features,1.0,0
v2B_gated_aperiodic_top5,v2_metric,sub-2IU8mi,stn_right_low_beta_power,STN_features,1.0,0
